property_id,assessor_parcel_id,pin,site_address,zip_code,council_district,community_plan_area,neighborhood_council,base_zoning,base_zoning_description,full_zoning_code,general_plan_land_use,specific_plan_area,overlay_count,lot_size_sqft,building_size_sqft,year_built,number_of_units,use_code,assessed_land_value,assessed_improvement_value,total_assessed_value,toc_eligible,opportunity_zone,high_quality_transit,residential_market_area,commercial_market_area,methane_zone,flood_zone,fault_zone,rent_stabilization,housing_replacement_required,data_completeness_score,development_score,score_breakdown,suggested_use,investment_tier,latitude,longitude,dist_downtown_miles,dist_santa_monica_miles,dist_hollywood_miles,dist_lax_miles,dist_ucla_miles,dist_usc_miles,nearest_metro_station,nearest_metro_distance,nearest_metro_lines,freeway_distance_miles,walkability_score,location_premium_bonus,transit_accessibility_bonus,highway_access_bonus,total_geographic_bonus,enhanced_development_score,enhanced_investment_tier,enhanced_suggested_use
589,2618-001-007,207B153 549,14040 W PAXTON ST,91331,CD 7 - Monica Rodriguez,Arleta - Pacoima,Pacoima,R1,Single Family Residential,R1-1-O,Low Residential,,1,7064.3,1672.0,1954.0,1.0,0100 - Residential - Single Family Residence,85151.0,216160.0,301311.0,True,Not Eligible,Yes,Low,Medium,Methane Zone,Outside Flood Zone,,No [APN: 2618001007],,90.6,38.55,"{""zoning_score"": 40.0, ""lot_size_score"": 70.21433333333333, ""transit_bonus"": 35.0, ""financial_score"": 8.0, ""risk_penalty"": 8.0}",Hold/Income Property,D,34.0522,-118.3841,8.05,6.55,4.31,7.69,3.69,6.04,Westwood/Rancho Park,3.1,Expo,1.24,50,0.0,0.0,1.0,1.0,39.55,D,Hold/Income Property
590,5083-019-009,129B185 328,1241 S TREMAINE AVE,90019,CD 10 - Heather Hutt,Wilshire,Olympic Park,R2,Two Family Residential,R2-1-O,Low Medium I Residential,,1,7402.9,3120.0,1927.0,2.0,"0200 - Residential - Double, Duplex, or Two Units - 4 Stories or Less",36961.0,47772.0,84733.0,True,Not Eligible,Yes,Medium-High,High,Methane Zone,Outside Flood Zone,,Yes [APN: 5083019009],Yes,93.8,42.04,"{""zoning_score"": 50.0, ""lot_size_score"": 71.343, ""transit_bonus"": 35.0, ""financial_score"": 5.0, ""risk_penalty"": 8.0}",Hold/Income Property,D,34.04479,-118.2637,1.26,13.17,5.86,10.88,10.54,1.97,Pico,0.22,Expo,0.42,70,0.0,8.0,3.0,11.0,53.04,C+,Assembly Opportunity Lead
591,2628-011-002,195B161 469,8918 N ARLETA AVE,91331,CD 6 - Imelda Padilla,Sun Valley - La Tuna Canyon,Arleta,R1,Single Family Residential,R1-1,Low Residential,,0,6609.0,1665.0,1954.0,1.0,0100 - Residential - Single Family Residence,154240.0,152856.0,307096.0,False,Not Eligible,,Low,Medium,,Outside Flood Zone,,No [APN: 2628011002],,84.4,31.51,"{""zoning_score"": 40.0, ""lot_size_score"": 68.045, ""transit_bonus"": 0.0, ""financial_score"": 5.0, ""risk_penalty"": 0.0}",Hold/Income Property,D,34.14138,-118.2437,6.15,16.5,6.09,16.64,12.59,8.54,Hollywood/Vine,5.49,Red,1.48,50,0.0,0.0,1.0,1.0,32.51,D,Hold/Income Property
593,2378-018-001,162B173 966,11285 W LAURIE DR,91604,CD 4 - Nithya Raman,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,Studio City,RE,Residential Estate,RE15-1-H,Very Low Residential,MULHOLLAND SCENIC PARKWAY (OUTER CORRIDOR),2,12984.0,2336.0,1956.0,1.0,0101 - Residential - Single Family Residence - Pool,1112739.0,403259.0,1515998.0,False,Not Eligible,Yes,Medium,High,,Outside Flood Zone,,No [APN: 2378018001],,90.6,36.9,"{""zoning_score"": 35.0, ""lot_size_score"": 82.984, ""transit_bonus"": 15.0, ""financial_score"": 15.0, ""risk_penalty"": 6.0}",Prime Redevelopment Site,D,34.0522,-118.35655,6.47,8.05,3.59,8.12,5.21,4.59,Koreatown/Wilshire,2.81,Purple,2.63,50,0.0,0.0,0.0,0.0,36.9,D,Assembly Opportunity Lead
594,5179-016-007,124-5A227 184,,0,CD 14 - Ysabel Jurado,Boyle Heights,Boyle Heights,R2,Two Family Residential,R2-1-CUGU,Low Medium I Residential,,0,1656.7,700.0,1912.0,1.0,0100 - Residential - Single Family Residence,73364.0,69080.0,142444.0,True,Not Eligible,Yes,Low,Medium,,Outside Flood Zone,,No [APN: 5179016007],,81.2,32.76,"{""zoning_score"": 50.0, ""lot_size_score"": 31.044666666666668, ""transit_bonus"": 35.0, ""financial_score"": 5.0, ""risk_penalty"": 0.0}",Hold/Income Property,D,,,999.0,999.0,999.0,999.0,999.0,999.0,Unknown,999.0,,999.0,25,0.0,0.0,0.0,0.0,32.76,D,Hold/Income Property
597,5180-017-021,127-5A225 158,2724 E NEW JERSEY ST,90033,CD 14 - Ysabel Jurado,Boyle Heights,Boyle Heights,R2,Two Family Residential,R2-1-CUGU,Low Medium I Residential,,0,5398.4,1403.0,1912.0,1.0,0100 - Residential - Single Family Residence,197395.0,101960.0,299355.0,True,Not Eligible,Yes,Low,Medium,Methane Zone,Outside Flood Zone,,No [APN: 5180017021],Yes,93.8,40.0,"{""zoning_score"": 50.0, ""lot_size_score"": 61.992, ""transit_bonus"": 35.0, ""financial_score"": 5.0, ""risk_penalty"": 5.0}",SB9 Lot Split Opportunity,D,34.0522,-118.21646,1.56,15.93,7.83,13.35,13.17,4.44,Pico/Aliso,0.37,Gold,1.8,70,0.0,8.0,1.0,9.0,49.0,C,TOD Development Site
598,5422-009-018,145-5A209 11,,0,CD 13 - Hugo Soto-Martinez,Silver Lake - Echo Park - Elysian Valley,Silver Lake,R2,Two Family Residential,R2-1VL,Low Medium I Residential,,0,151.5,542.0,1914.0,1.0,0100 - Residential - Single Family Residence,90990.0,53573.0,144563.0,False,Not Eligible,Yes,Medium-High,High,,Outside Flood Zone,,No [APN: 5422009018],,81.2,25.75,"{""zoning_score"": 50.0, ""lot_size_score"": 21.01, ""transit_bonus"": 15.0, ""financial_score"": 0.0, ""risk_penalty"": 0.0}",Hold/Income Property,D,,,999.0,999.0,999.0,999.0,999.0,999.0,Unknown,999.0,,999.0,25,0.0,0.0,0.0,0.0,25.75,D,Hold/Income Property
599,5059-018-033,123B189 429,2424 S 7TH AVE,90018,CD 10 - Heather Hutt,West Adams - Baldwin Hills - Leimert,"United Neighborhoods of the Historic Arlington Heights, West Adams, and Jef",R1,Single Family Residential,R1-1-O-HPOZ,Low II Residential,SOUTH LOS ANGELES ALCOHOL SALES,4,7259.0,2466.0,1903.0,1.0,0100 - Residential - Single Family Residence,246212.0,67304.0,313516.0,False,Not Eligible,Yes,Medium,Medium,Methane Zone,Outside Flood Zone,,No [APN: 5059018033],,93.8,34.52,"{""zoning_score"": 40.0, ""lot_size_score"": 70.86333333333333, ""transit_bonus"": 15.0, ""financial_score"": 15.0, ""risk_penalty"": 17.0}",SB9 Lot Split Opportunity,D,34.02796,-118.2437,1.67,14.22,7.49,11.13,11.9,2.41,Pershing Square,1.5,"Red,Purple",1.56,55,0.0,2.0,1.0,3.0,37.52,D,Assembly Opportunity Lead
600,2078-013-020,165B101 300,,0,,,,,,,,,0,19270.1,2063.0,1964.0,1.0,0100 - Residential - Single Family Residence,682005.0,270046.0,952051.0,False,Not Eligible,,,,,Outside Flood Zone,,No [APN: 2078013020],,50.0,34.32,"{""zoning_score"": 30.0, ""lot_size_score"": 89.2701, ""transit_bonus"": 0.0, ""financial_score"": 15.0, ""risk_penalty"": 0.0}",Prime Redevelopment Site,D,,,999.0,999.0,999.0,999.0,999.0,999.0,Unknown,999.0,,999.0,25,0.0,0.0,0.0,0.0,34.32,D,Prime Redevelopment Site
602,2326-018-011,180B157 325,6646 N FULTON AVE,91401,CD 2 - Adrin Nazarian,Van Nuys - North Sherman Oaks,Greater Valley Glen,R1,Single Family Residential,R1-1,Low Residential,,0,7202.2,1040.0,1952.0,1.0,0101 - Residential - Single Family Residence - Pool,359366.0,135609.0,494975.0,False,Not Eligible,Yes,Low,Medium,,Outside Flood Zone,,No [APN: 2326018011],,87.5,36.17,"{""zoning_score"": 40.0, ""lot_size_score"": 70.674, ""transit_bonus"": 15.0, ""financial_score"": 15.0, ""risk_penalty"": 0.0}",SB9 Lot Split Opportunity,D,34.11866,-118.2437,4.58,15.76,5.58,15.38,12.05,7.05,Civic Center/Grand Park,4.32,"Red,Purple",1.3,50,0.0,0.0,1.0,1.0,37.17,D,Assembly Opportunity Lead
603,4245-002-002,111B149 135,3508 S REDWOOD AVE,90066,CD 11 - Traci Park,Palms - Mar Vista - Del Rey,Mar Vista,R1,Single Family Residential,R1V2,Low Residential,LOS ANGELES COASTAL TRANSPORTATION CORRIDOR,2,4782.6,1256.0,1947.0,1.0,0100 - Residential - Single Family Residence,694248.0,193672.0,887920.0,False,Not Eligible,Yes,High,High,,Outside Flood Zone,,No [APN: 4245002002],,90.6,32.36,"{""zoning_score"": 40.0, ""lot_size_score"": 57.82600000000001, ""transit_bonus"": 15.0, ""financial_score"": 15.0, ""risk_penalty"": 6.0}",Teardown/Rebuild Opportunity,D,34.01712,-118.2437,2.42,14.21,8.02,10.75,12.1,2.4,LATTC/Ortho Institute,2.01,Expo,2.29,50,0.0,0.0,0.0,0.0,32.36,D,Teardown/Rebuild Opportunity
